Date,st_occation,end_occation,Todd_WL,Indian_WL
2017/8/15,12 ,13 ,0.231,0.158
2017/8/16,12 ,13 ,0.225,0.154
2017/8/17,12 ,13 ,0.222,0.154
2017/8/18,12 ,13 ,0.221,0.152
2017/8/19,12 ,13 ,0.219,0.15
2017/8/20,12 ,13 ,0.219,0.15
2017/8/21,12 ,13 ,0.218,0.15
2017/8/22,12 ,13 ,0.216,0.15
2017/8/23,12 ,13 ,0.213,0.149
2017/8/24,12 ,13 ,0.212,0.147
2017/8/25,12 ,13 ,0.21,0.145
2017/8/26,12 ,13 ,0.207,0.144
2017/8/27,12 ,13 ,0.206,0.146
2017/8/28,12 ,13 ,0.204,0.144
