"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17419,NA,NA,NA
"276",NA,NA,NA,NA,NA,NA,NA,NA,17300,NA,NA,NA,NA,NA
"277",NA,NA,NA,NA,NA,NA,NA,NA,17300,17354,NA,NA,NA,NA
"278",NA,NA,NA,NA,NA,NA,NA,NA,17300,17354,17422,17475,NA,NA
"279",NA,NA,NA,NA,NA,NA,NA,NA,17300,NA,17419,17475,17545,NA
"280",NA,NA,NA,NA,NA,NA,NA,NA,17300,NA,NA,NA,NA,NA
"281",NA,NA,NA,NA,NA,NA,NA,NA,17300,NA,NA,NA,NA,NA
"282",NA,NA,NA,NA,NA,NA,NA,NA,17300,NA,NA,NA,NA,NA
"283",NA,NA,NA,NA,NA,NA,NA,NA,17300,NA,NA,NA,NA,NA
"284",NA,NA,NA,NA,NA,NA,NA,17232,NA,17353,17419,NA,NA,NA
"285",NA,NA,NA,NA,NA,NA,NA,17228,NA,17353,17419,NA,NA,NA
"286",NA,NA,NA,NA,NA,NA,NA,17228,17298,NA,NA,NA,NA,NA
"287",NA,NA,NA,NA,NA,NA,NA,17232,NA,17354,17422,NA,NA,NA
"288",NA,NA,NA,NA,NA,NA,NA,17228,17298,NA,17419,NA,NA,17594
"289",NA,NA,NA,NA,NA,NA,NA,17228,NA,NA,NA,17475,NA,NA
"290",NA,NA,NA,NA,NA,NA,NA,17228,NA,NA,NA,NA,NA,NA
"291",NA,NA,NA,NA,NA,NA,NA,17228,NA,NA,NA,NA,NA,NA
"292",NA,NA,NA,NA,NA,NA,NA,17232,17300,17353,NA,NA,NA,NA
"293",NA,NA,NA,NA,NA,NA,NA,17225,NA,NA,NA,NA,NA,NA
"294",NA,NA,NA,NA,NA,NA,NA,17228,NA,NA,NA,NA,NA,NA
"295",NA,NA,NA,NA,NA,NA,NA,17228,NA,NA,NA,17475,NA,NA
"296",NA,NA,NA,NA,NA,NA,NA,17225,NA,NA,NA,NA,NA,NA
"297",NA,NA,NA,NA,NA,NA,NA,17225,17298,NA,NA,NA,NA,NA
"298",NA,NA,NA,NA,NA,NA,NA,17228,NA,NA,NA,NA,NA,NA
"299",NA,NA,NA,NA,NA,NA,NA,17232,NA,17354,NA,NA,NA,NA
