Occasion,Date,SEC,IND,PASS,SPE,LEN,WEIGH,TAGNUMBER         ,RECAP ,MORTAL,GENETIC,TAGGER    ,COMMENTS            ,,,,,,,,,,,,,,,
1,20150913,20,NA,NA,CRC,112,14.2,0900067000077330  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,20,NA,NA,BHC,126,20.2,0900067000077232  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,20,NA,NA,CRC,93,8.2,0900067000077144  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,20,NA,NA,CRC,137,25.4,0900067000077494  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,20,NA,NA,CRC,75,3.7,0900067000077027  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,20,NA,NA,BHC,62,2.2,0900067000077419  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,20,NA,NA,STJ,83,5.3,0900067000077073  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,20,NA,NA,CRC,154,39.5,0900067000077473  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,20,NA,NA,CRC,121,16.9,0900067000077261  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,20,NA,NA,MTS,69,4.1,0900067000077047  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,20,NA,NA,CRC,122,19,0900067000077029  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,20,NA,NA,CRC,131,23,0900067000077333  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,20,NA,NA,CRC,71,3.8,0900067000077393  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,20,NA,NA,CRC,90,7.7,0900067000077143  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,20,NA,NA,STJ,95,7.4,0900067000077175  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,20,NA,NA,BHC,74,3.7,0900067000077168  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,20,NA,NA,BHC,106,11.6,0900067000077329  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,20,NA,NA,CRC,70,4,0900067000077130  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,20,NA,NA,CRC,83,5.7,0900067000077161  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,20,NA,NA,CRC,105,11.4,0900067000077271  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,20,NA,NA,CRC,83,5.6,0900067000077074  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,20,NA,NA,CRC,61,2.4,0900067000077339  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,20,NA,NA,CRC,61,2.1,0900067000077481  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,20,NA,NA,BHC,62,2.1,0900067000077203  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,20,NA,NA,BHC,59,2.2,0900067000077256  ,N     ,Y     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,20,NA,NA,CRC,81,5.2,0900067000077469  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,20,NA,NA,MTS,69,3.3,0900067000077487  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,20,NA,NA,BHC,88,6.8,0900067000077033  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,20,NA,NA,STJ,84,5.3,0900067000077062  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,20,NA,NA,BHC,60,1.8,0900067000077103  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,20,NA,NA,MTS,62,2.6,0900067000077100  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,21,NA,NA,STJ,95,7.6,0900067000077005  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,21,NA,NA,BHC,80,4.5,0900067000077146  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,21,NA,NA,CRC,85,6.1,0900067000077272  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,21,NA,NA,CRC,111,15,0900067000077488  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,21,NA,NA,CRC,73,3.4,0900067000077351  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,21,NA,NA,BHC,65,2.7,0900067000077324  ,N     ,Y     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,21,NA,NA,CRC,143,27.9,0900067000077240  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,21,NA,NA,CRC,90,7.5,0900067000077226  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,21,NA,NA,BHC,59,2.2,0900067000077242  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,21,NA,NA,MTS,62,2.8,0900067000077459  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,21,NA,NA,CRC,112,13.9,0900067000077380  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,21,NA,NA,MTS,61,2.6,0900067000077283  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
