"","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]","sigma","phi","bpvalue"
"231",3.34354,0.577674,-0.0455916,-0.0549009,-0.0268273,-0.0760889,0.107659,0.272582,0
"232",3.29435,0.68704,0.00770238,-0.213904,-0.0230661,-0.00661691,0.114437,0.276076,1
"233",3.36307,0.549588,-0.021237,-0.19831,-0.062059,-0.0523463,0.115734,0.287941,1
"234",3.29285,0.538165,-0.0305556,-0.139514,-0.0153549,-0.0285121,0.12086,0.272618,0
"235",3.36092,0.607814,-0.0467299,-0.0483854,-0.126589,-0.0261136,0.10708,0.262675,1
"236",3.34226,0.64305,-0.0726078,-0.141263,-0.0221856,0.0173874,0.112348,0.288395,0
"237",3.35612,0.591106,-0.0349644,-0.0608489,-0.0668352,-0.296551,0.111988,0.264892,1
"238",3.37004,0.739282,-0.0572883,-0.138819,-0.125541,-0.403407,0.114457,0.272954,1
"239",3.31064,0.560039,-0.059807,-0.0807118,-0.0474977,-0.177077,0.115478,0.273072,1
"240",3.31871,0.554974,0.0273004,-0.271333,-0.0149015,0.147461,0.108536,0.277449,0
"241",3.35903,0.700851,-0.079335,-0.0835542,-0.116182,-0.0700414,0.106533,0.288962,0
"242",3.35287,0.519934,0.00952411,-0.133588,-0.114301,0.0977346,0.107588,0.275345,0
"243",3.34775,0.549773,0.00360823,-0.176585,-0.0596374,-0.105153,0.107605,0.289387,1
"244",3.38424,0.571068,-0.033589,-0.152175,-0.116173,-0.165965,0.104346,0.274706,0
"245",3.35613,0.648915,-0.0724847,-0.105568,-0.102389,-0.11706,0.118408,0.285375,0
"246",3.31451,0.661942,0.0139678,-0.131749,-0.100865,-0.398945,0.108017,0.26571,1
"247",3.30025,0.642394,-0.00926767,-0.130018,-0.118776,-0.0465563,0.111389,0.291376,0
"248",3.41583,0.426419,-0.0365819,-0.0946257,-0.0643675,0.0554073,0.104969,0.272554,1
"249",3.43608,0.661887,-0.0779896,-0.0391995,-0.0847552,-0.0858114,0.114138,0.290995,0
"250",3.45286,0.500386,-0.0405985,-0.14966,-0.0358412,-0.0706204,0.11421,0.284565,0
"251",3.30674,0.629516,-0.097996,-0.116991,-0.143429,-0.341494,0.106235,0.296651,0
"252",3.30522,0.619984,0.00760998,-0.166801,-0.105611,-0.228975,0.117392,0.275666,0
"253",3.32837,0.56036,-0.0458897,-0.0632572,-0.0825782,-0.204982,0.107456,0.268935,0
"254",3.31444,0.623341,-0.0046302,-0.169465,-0.060586,0.119016,0.106408,0.275349,0
