,mean,50%,2.50%,97.50%,Rhat,n.eff,PN,PP
loglik[1345],-6.28051408,-6.276155,-6.418828,-6.16933225,1.018233576,110,1,0
loglik[1346],-5.810945547,-5.80568,-5.86560525,-5.7876095,1.013457616,150,1,0
loglik[1349],-4.974424813,-4.971295,-5.0944745,-4.87191475,1.030941062,81,1,0
loglik[1351],-9.15164278,-9.12907,-9.8721285,-8.48055225,1.023345841,94,1,0
loglik[1353],-4.494042187,-4.493545,-4.68643625,-4.31886425,1.024984293,91,1,0
loglik[1359],-4.476722047,-4.47482,-4.6370545,-4.32234375,1.019474555,110,1,0
loglik[1361],-6.75340402,-6.747525,-6.9766595,-6.55576025,1.01976189,110,1,0
loglik[1362],-6.291328,-6.28769,-6.43254575,-6.17966175,1.017979918,110,1,0
loglik[1365],-5.008417913,-5.002095,-5.1632965,-4.87571375,1.037814832,70,1,0
loglik[1374],-4.645306387,-4.64289,-4.8483505,-4.45388625,1.028901326,83,1,0
loglik[1376],-4.967844007,-4.965525,-5.080263,-4.87001425,1.029094311,85,1,0
loglik[1379],-4.937121553,-4.934845,-5.02848675,-4.85513425,1.019887916,100,1,0
loglik[1380],-6.516180993,-6.49862,-6.82053375,-6.3332355,1.02711635,86,1,0
loglik[1381],-5.06378294,-5.056135,-5.2437835,-4.9037275,1.039824422,66,1,0
loglik[1382],-5.391588167,-5.388305,-5.41920075,-5.38204475,1.025610088,100,1,0
loglik[1383],-5.40483352,-5.399055,-5.458115,-5.38211475,1.055023887,63,1,0
loglik[1389],-5.859095013,-5.855065,-5.93701125,-5.8037155,1.017473494,120,1,0
loglik[1393],-5.390033793,-5.38698,-5.413428,-5.38204475,1.023468861,110,1,0
loglik[1398],-5.05276952,-5.045635,-5.219231,-4.9043555,1.038777958,68,1,0
loglik[1400],-6.6482771,-6.641735,-6.84516525,-6.48433225,1.019497107,110,1,0
loglik[1401],-4.548588887,-4.5475,-4.71409875,-4.39536325,1.020693184,100,1,0
loglik[1403],-10.94926152,-10.93635,-11.841065,-10.1246,1.018859386,110,1,0
loglik[1409],-4.976567567,-4.974325,-5.077832,-4.88954775,1.022436795,99,1,0
loglik[1410],-4.951726013,-4.94961,-5.05116325,-4.86607825,1.024276904,95,1,0
loglik[1422],-4.32449368,-4.318825,-4.63998775,-4.03539475,1.036639169,68,1,0
loglik[1423],-4.414131733,-4.41178,-4.64161675,-4.2098465,1.030561778,79,1,0
loglik[1424],-5.392297313,-5.38682,-5.43062925,-5.38204,1.000620812,1500,1,0
loglik[1425],-4.12937446,-4.117155,-4.6245325,-3.68405425,1.039677897,63,1,0
loglik[1430],-5.869357347,-5.86453,-5.95694225,-5.8058545,1.018222322,110,1,0
loglik[1432],-4.409493527,-4.408625,-4.60064525,-4.2386165,1.024216753,92,1,0
loglik[1435],-4.308650647,-4.30492,-4.582304,-4.05779,1.034686181,71,1,0
loglik[1438],-6.2974363,-6.29262,-6.4390415,-6.18234125,1.018044481,110,1,0
loglik[1439],-7.364271533,-7.345505,-7.91417725,-6.916486,1.026679716,83,1,0
loglik[1440],-4.83784906,-4.827155,-5.006716,-4.7232195,1.046487322,61,1,0
loglik[1450],-7.348935973,-7.333145,-7.802621,-6.9555335,1.025143858,88,1,0
loglik[1452],-6.392813967,-6.383385,-6.60591775,-6.217968,1.022238659,97,1,0
loglik[1455],-4.444992673,-4.442965,-4.620871,-4.28563725,1.022017019,98,1,0
loglik[1456],-6.321046167,-6.31631,-6.472881,-6.196482,1.018208832,110,1,0
loglik[1462],-3.991200007,-3.974855,-4.6966855,-3.36165425,1.040722393,62,1,0
loglik[1463],-5.38935592,-5.386335,-5.41194825,-5.38205,1.02489264,110,1,0
loglik[1466],-6.77280574,-6.767165,-7.00010825,-6.58587125,1.018297781,110,1,0
loglik[1472],-6.9233884,-6.911845,-7.271134,-6.6262055,1.024141693,91,1,0
loglik[1476],-4.503769893,-4.501655,-4.6704655,-4.34649825,1.019835765,100,1,0
loglik[1482],-5.921098553,-5.90671,-6.12216375,-5.79923975,1.022239518,96,1,0
loglik[1485],-7.36839224,-7.290745,-8.6274505,-6.53181125,1.032551984,76,1,0
loglik[1490],-4.386548753,-4.390935,-4.78592925,-3.98796575,1.042181332,54,1,0
loglik[1493],-4.914632513,-4.9046,-5.1446875,-4.740588,1.061686955,40,1,0
loglik[1495],-4.551770827,-4.55629,-4.96654775,-4.13817225,1.080696032,29,1,0
loglik[1498],-4.935112473,-4.92545,-5.1735245,-4.7520135,1.073386508,34,1,0
loglik[1499],-4.327675707,-4.327305,-4.77164575,-3.87146975,1.01897753,120,1,0
loglik[1503],-4.900680893,-4.891675,-5.1256715,-4.732622,1.052994385,46,1,0
loglik[1504],-5.941889347,-5.93638,-6.09653925,-5.830096,1.002482397,1100,1,0
loglik[1518],-4.86437478,-4.859575,-4.97416975,-4.77869575,1.004316945,610,1,0
loglik[1523],-6.4293585,-6.424185,-6.6759155,-6.23160225,1.00245264,960,1,0
loglik[1525],-8.70513034,-8.69689,-9.431458,-8.04319775,1.0026085,860,1,0
loglik[1526],-4.237493667,-4.236725,-4.4430425,-4.0408165,1.004181834,710,1,0
loglik[1542],-5.393356227,-5.38851,-5.430764,-5.38205,1.002661481,1500,1,0
loglik[1546],-4.833859927,-4.82961,-4.93331775,-4.75574,1.005701747,570,1,0
loglik[1550],-4.271342587,-4.26883,-4.4744205,-4.07625,1.004070624,690,1,0
