"","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]","sigma"
"213",3.30334,0.624867,-0.0165201,-0.130001,-0.0396196,-0.0266955,0.10609
"214",3.34506,0.594205,-0.0964135,-0.168011,-0.00373723,0.135471,0.114659
"215",3.44665,0.599366,0.0331537,-0.122825,-0.109716,-0.214693,0.115869
"216",3.34782,0.536396,0.0874553,-0.201708,-0.0218184,-0.0778053,0.10831
"217",3.34548,0.582445,-0.116438,0.0224045,-0.0909142,-0.165872,0.114069
"218",3.35588,0.556967,-0.028742,-0.0788789,-0.0286596,-0.0383069,0.111869
"219",3.33951,0.57824,-0.0370977,-0.0765457,-0.105151,-0.242495,0.109666
"220",3.35424,0.696584,-0.00237229,-0.102662,-0.101855,0.0149498,0.110892
"221",3.24668,0.736234,0.00289611,-0.101416,-0.0515954,-0.185433,0.1152
"222",3.35864,0.595702,-0.0350476,-0.17405,-0.0693317,-0.111347,0.109468
"223",3.35885,0.511148,-0.0403407,-0.149471,-0.0573157,-0.00870869,0.118124
"224",3.41458,0.535311,0.0239162,-0.132622,-0.132173,-0.13979,0.110491
"225",3.3789,0.547802,-0.0317324,-0.0668252,-0.051327,-0.223064,0.10636
"226",3.37656,0.657974,-0.0684469,-0.134114,0.00069563,0.168082,0.114698
"227",3.3725,0.50115,0.00955612,-0.133196,-0.0974373,-0.195804,0.109745
"228",3.40484,0.545951,0.0448836,-0.0651044,-0.0592305,-0.0703028,0.109385
"229",3.25612,0.66348,-0.0875147,0.016368,-0.046383,0.224464,0.105106
"230",3.37618,0.59757,-0.0382943,-0.143057,-0.0173724,-0.136181,0.11556
"231",3.30274,0.625478,-0.0404775,-0.0930256,-0.0489941,-0.148078,0.108594
"232",3.33078,0.537342,-0.0291452,-0.097463,-0.0522049,0.10744,0.113609
"233",3.32106,0.560942,0.0340728,-0.169703,-0.0116697,0.148967,0.108817
"234",3.37343,0.655533,-0.0483055,-0.0287204,-0.05361,-0.405161,0.117783
"235",3.35227,0.624082,-0.0784395,-0.134236,-0.0395016,-0.0555311,0.114512
"236",3.3806,0.558934,-0.0173981,-0.189103,-0.0845297,-0.103866,0.111164
"237",3.29892,0.651618,0.0307305,-0.227917,-0.056448,-0.173406,0.111917
"238",3.3629,0.674601,-0.0510244,-0.0554384,-0.0885156,-0.0403221,0.112469
"239",3.36415,0.578638,-0.00631948,-0.146769,-0.0823094,-0.185925,0.110802
"240",3.38298,0.592109,-0.00684156,-0.0758479,-0.0679423,-0.219348,0.110127
"241",3.29935,0.678644,-0.0430039,-0.176451,-0.0373663,-0.130113,0.10936
"242",3.39402,0.514976,-0.0466846,-0.0855811,-0.0652408,-0.166524,0.105432
"243",3.3019,0.633986,-0.0320873,-0.0881946,-0.0303118,0.0698393,0.113684
"244",3.31503,0.709001,-0.0275426,-0.132707,-0.0485372,-0.0798713,0.107463
"245",3.42465,0.488709,-0.0374759,-0.0801439,-0.0547021,-0.0465249,0.104178
"246",3.31801,0.602207,-0.0154997,-0.174496,0.0149491,-0.145453,0.107094
"247",3.36211,0.561175,-0.0406862,-0.160196,-0.0718562,-0.0341012,0.115732
"248",3.33737,0.466481,-0.0225589,0.0242578,-0.0627739,0.0743899,0.109127
"249",3.39288,0.614366,-0.0471634,-0.0779931,-0.0240312,-0.215806,0.109458
"250",3.46944,0.395512,-0.00579801,-0.0741576,-0.0441129,0.0376037,0.120621
"251",3.40476,0.522547,-0.0533547,-0.108198,-0.0792296,-0.154696,0.110728
"252",3.35456,0.613486,-0.0363571,-0.0462485,-0.0440206,-0.103004,0.112417
"253",3.38155,0.563907,-0.062344,-0.0834983,-0.0980751,-0.121044,0.111421
"254",3.39697,0.536547,0.0158857,-0.15672,-0.0911521,-0.271576,0.113904
"255",3.35568,0.652266,-0.0735268,-0.0907998,-0.0839067,-0.264167,0.112565
"256",3.30232,0.502638,-0.0917165,0.0662699,-0.0932597,-0.295754,0.108405
"257",3.3548,0.526047,-0.0374016,-0.104051,-0.0335279,-0.193241,0.112197
"258",3.34812,0.550037,0.0233978,-0.222263,0.0119986,-0.211354,0.112578
"259",3.42166,0.556868,-0.0494775,-0.0158576,-0.126926,-0.0418087,0.112035
