"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma","phi"
"277",3.34381,0.54513,-0.140702,-0.0536055,-0.18018,6.61026,0.279869
"278",3.30699,0.625978,-0.0205121,-0.0362767,0.156554,6.56206,0.279097
"279",3.38669,0.660554,-0.00452346,-0.0566399,-0.326849,7.10932,0.302353
"280",3.24018,0.694712,-0.0513345,0.00831062,0.173078,6.34106,0.255367
"281",3.32947,0.598751,-0.0759941,-0.047445,0.152726,7.11007,0.284744
"282",3.32786,0.644961,-0.0538212,-0.0290979,-0.0289277,6.40595,0.274842
"283",3.39723,0.562171,-0.093332,-0.0879382,-0.257093,7.04055,0.281226
"284",3.34469,0.518196,-0.106931,-0.0943171,-0.125045,6.74714,0.288587
"285",3.26745,0.509754,-0.0383842,-0.0518368,-0.0915604,6.67277,0.266306
"286",3.32728,0.511827,-0.0918909,-0.0748153,-0.0173032,6.91812,0.252953
"287",3.38667,0.54847,-0.062095,-0.0482476,-0.162667,7.02694,0.285857
"288",3.31883,0.635757,-0.107486,-0.0438348,-0.0880922,6.71085,0.272602
"289",3.32285,0.645919,-0.0388444,-0.0741978,-0.0554505,6.82003,0.293935
"290",3.34003,0.751666,-0.072985,-0.0817116,-0.209149,6.40394,0.276947
"291",3.45076,0.514435,-0.131903,-0.0343058,-0.144576,6.79374,0.29259
"292",3.48007,0.434906,-0.0822462,-0.0777994,-0.174783,6.36575,0.278139
"293",3.30356,0.67202,-0.0526813,-0.0828741,0.0351387,7.25052,0.276388
"294",3.3857,0.477117,-0.0792335,-0.0653451,0.0308957,6.58326,0.270722
"295",3.42002,0.534823,-0.113759,-0.0500281,0.081964,6.97394,0.280163
"296",3.43327,0.526171,-0.109109,-0.109281,-0.121723,6.92777,0.286801
"297",3.38125,0.587759,-0.0400101,-0.0855586,-0.180305,6.87367,0.284678
"298",3.33238,0.595601,-0.0252463,-0.0747504,-0.0602863,6.87804,0.294175
"299",3.39179,0.688907,-0.0562869,-0.0114447,-0.173386,6.94967,0.284711
"300",3.29865,0.572806,-0.0908761,-0.0743003,-0.148735,6.55348,0.278312
"301",3.38542,0.549401,-0.0937806,-0.0458737,-0.146209,6.58109,0.27501
"302",3.43125,0.463,-0.0374385,-0.107673,-0.129212,6.96628,0.276599
"303",3.34517,0.609298,-0.0905574,-0.0539877,-0.228559,7.00944,0.282293
"304",3.28746,0.600012,-0.0477053,-0.0613384,-0.166181,6.67634,0.275102
"305",3.36475,0.563713,-0.0651085,-0.0681247,0.0121616,6.66889,0.278507
"306",3.37358,0.505688,-0.0520599,-0.0906855,0.0640732,6.55486,0.276107
"307",3.32652,0.565935,-0.0826832,-0.0242265,-0.151471,6.62263,0.286483
"308",3.38033,0.548017,-0.0832568,-0.0498105,-0.162834,6.84025,0.279626
"309",3.3717,0.545143,-0.0384928,-0.0716875,-0.107152,6.57099,0.28083
"310",3.39807,0.532335,-0.12286,-0.0668325,-0.103206,6.95354,0.28168
"311",3.44398,0.484922,-0.0901189,-0.0454775,-0.00916885,6.84028,0.278252
"312",3.2743,0.725194,-0.0542664,-0.0665489,0.25309,6.58851,0.274447
"313",3.38997,0.46774,-0.0460711,-0.0169977,-0.156402,7.08661,0.298122
"314",3.41662,0.489329,-0.0380038,-0.0735892,-0.188649,6.75462,0.282994
"315",3.39081,0.455302,-0.0433326,-0.021644,-0.0079246,6.97262,0.286934
"316",3.34754,0.576602,-0.102235,-0.0428204,-0.146747,6.67433,0.272308
"317",3.2842,0.684432,-0.0507738,-0.0271349,0.223187,6.49501,0.297277
"318",3.28008,0.747806,-0.0241935,-0.0231381,0.0732874,6.94748,0.283623
"319",3.38845,0.583693,-0.0454883,-0.0786707,-0.174426,6.34869,0.266515
"320",3.36917,0.556836,-0.0674778,-0.0376814,-0.0432866,6.5999,0.275678
"321",3.2689,0.656053,-0.00237304,-0.0715067,-0.0457774,6.47332,0.294111
"322",3.32918,0.572025,-0.021179,-0.0570545,-0.210555,6.44719,0.27176
